us,fanRPM,Itemp,Isetp,Iheat,IP,II,ID,Etemp,Esetp,Eheat,EP,EI,ED
113612687,0,25.8125,60,0,-5577.65625,0,0,22.6875,24.6875,60,400,0,0
113712542,456,25.8125,60,0,-5577.65625,0,0,22.6875,24.6875,60,400,0,0
113812562,1621,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
113912538,2307,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
114012546,2773,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
114112528,3275,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
114212525,3677,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
114312528,3978,25.75,60,255,1250.125,0,0,22.6875,24.6875,60,400,0,0
114412546,4350,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
114512495,4480,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
114612528,4685,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
114712541,4848,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
114812528,4950,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
114912544,5185,25.8125,60,255,1247.84375,0,0,22.6875,24.6875,60,400,0,0
115012562,5267,25.75,60,255,1250.125,0,0,22.6875,24.6875,60,400,0,0
115112551,5265,25.75,60,255,1250.125,0,0,22.6875,24.6875,60,400,0,0
115212564,5430,25.75,60,255,1250.125,0,0,22.6875,24.6875,60,400,0,0
115312541,5414,25.8125,60,255,1250.125,0,0,22.6875,24.6875,60,400,0,0
115412577,5546,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
115512560,5466,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
115612559,5508,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
115712524,5648,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
115812561,5555,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
115912602,5642,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
116012554,5666,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
116112552,5590,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116212574,5622,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116312547,5695,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116412553,5611,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
116512574,5616,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116612560,5718,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116712557,5714,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
116812582,5619,25.75,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
116912572,5627,25.8125,60,255,1250.125,0,0,22.75,24.6875,60,387.5,0,0
117012643,5686,25.8125,60,255,1247.84375,0,0,22.75,24.6875,60,387.5,0,0
